NAAAA00500                                                              00000100
NAAAA00100                                                              00000200
NAAAA00200                                                              00000300
NBBBB00100                                                              00000400
NBBBB00100                                                              00000500
NBBBB00100                                                              00000600
NCCCC00100                                                              00000700
NCCCC00100                                                              00000800
NCCCC00100                                                              00000900
NCCCC00100                                                              00001000
NDDDD00200                                                              00001100
NECCC00100                                                              00001200
NECCC00100                                                              00001300
NFCCC00100                                                              00001400
NFCCC00100                                                              00001500
NFEEE00400                                                              00001600

